,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,1.5373422348499297,42.65,1.758242694618147,34.718
1,1.384970850944519,49.14,1.5264816607355767,43.866
2,1.2850948643684388,53.24,1.412876456594833,48.636
3,1.1819623839855193,56.57,1.325681069013103,52.128
4,1.1269578099250794,59.0,1.2559666273843906,54.472
5,1.1346030777692795,59.76,1.1997794150696386,56.848
6,1.0830519551038742,61.45,1.1668264896363554,58.302
7,1.0161672353744506,63.72,1.1068567061973045,60.34
8,0.9918107306957245,64.93,1.070501311508286,61.788
9,0.9633684688806534,65.78,1.0428339207873625,62.924
10,0.9267908829450607,66.86,1.0130424040662662,63.734
11,0.9226784026622772,67.67,0.9857447671768306,64.994
12,0.9038756382465363,67.92,0.9652470417339784,65.49
13,0.8983386218547821,68.21,0.9487402381189644,66.66
14,0.86665722489357,69.52,0.9295156194121027,67.012
15,0.846483308672905,70.66,0.9232385440555679,67.166
16,0.8587856185436249,69.81,0.9110028492215344,67.714
17,0.8410420072078705,70.36,0.8971930405367976,68.214
18,0.849416024684906,69.87,0.8830269472983182,68.574
19,0.8130915057659149,71.36,0.8769867545198602,69.084
20,0.7973951435089112,71.85,0.868901438725269,69.286
21,0.8099710363149643,71.74,0.8611802974015551,69.602
22,0.7982156234979629,71.91,0.8549728725877259,69.888
23,0.805677689909935,72.16,0.8366833274321788,70.528
24,0.774736413359642,72.3,0.8347436025014618,70.494
25,0.7753675174713135,73.03,0.8243190452570806,70.934
26,0.7600054025650025,73.11,0.8232650538844526,70.792
27,0.7699874049425125,72.97,0.8168272874544343,70.946
28,0.7522157049179077,73.81,0.8107164398483608,71.56
29,0.727990815937519,74.45,0.8072024830771835,71.244
30,0.7526062476634979,74.15,0.8049647196784349,71.632
31,0.7461961594223976,73.97,0.8002283660042316,71.718
32,0.7402219372987747,73.71,0.7947540682599977,71.806
33,0.753145015835762,73.89,0.8044739013437725,71.658
34,0.7508085089921951,73.83,0.783420608324163,72.434
35,0.762689797282219,73.2,0.7776428314730944,72.788
36,0.7284791812300682,74.49,0.7756943237751036,72.654
37,0.7447932690382004,73.87,0.7773970482904283,72.586
38,0.7267451518774033,74.61,0.7748739810855797,72.716
39,0.7424364537000656,74.19,0.7676142188899048,72.702
40,0.6744548657536507,76.57,0.6983285226937755,75.478
41,0.6725718140602112,76.82,0.6831773036276289,76.118
42,0.6678328812122345,76.71,0.6755463121187352,76.274
43,0.667818405032158,76.86,0.6744040641790766,76.226
44,0.6686327692866325,76.57,0.6705188204717758,76.362
45,0.6667043632268905,76.79,0.670935827143052,76.298
46,0.6662227523326874,76.84,0.6678011155951663,76.518
47,0.6678594091534614,77.01,0.664996374065004,76.508
48,0.6680385684967041,76.84,0.6636340544961602,76.484
49,0.6634608381986618,77.0,0.657030496146063,76.904
50,0.6598789778351783,77.13,0.6555071246745946,77.012
51,0.659824900329113,77.21,0.6508462510602858,77.124
52,0.6595085126161575,77.16,0.6486101291521126,76.98
53,0.6589971601963043,77.1,0.6505656654724989,77.058
54,0.659089728295803,77.28,0.6539543395304619,76.976
55,0.6588632798194886,77.2,0.6486423025503183,77.238
56,0.6584269806742669,77.09,0.651724452252888,77.182
57,0.6590631660819054,77.24,0.647705741017066,77.062
58,0.6582396575808525,77.16,0.6458421527882061,77.156
59,0.6575935965776444,77.34,0.6445288778570912,77.306
