,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,3.9494495010375976,9.47,4.301464969849648,4.83
1,3.678598954677582,13.63,3.843764706340897,10.75
2,3.4954126596450807,16.3,3.6435922448287537,13.918
3,3.3679485654830934,18.79,3.491484582271722,16.746
4,3.253008601665497,21.2,3.3647657172454286,18.936
5,3.2037422347068785,21.45,3.3121509789810766,19.502
6,3.0925639247894288,24.3,3.2375568703312396,21.34
7,3.051625761985779,24.71,3.1916614414176063,21.812
8,3.0335364079475404,25.04,3.1478402193854835,23.028
9,2.9516528034210205,26.96,3.1151441546047436,23.664
10,3.006890504360199,26.06,3.085153702884684,24.288
11,2.9301087284088134,27.93,3.060634540474933,24.66
12,2.951788532733917,27.16,3.018228227220228,25.328
13,2.9447711658477784,27.44,2.9985980475345233,25.538
14,2.879004135131836,28.23,2.9791185069267097,26.076
15,2.8495674681663514,29.06,2.9450547158565668,26.632
16,2.863255739212036,28.28,2.9335784552347324,26.836
17,2.8633921933174133,28.76,2.917175827733696,27.246
18,2.834737756252289,29.11,2.9089954978669694,27.476
19,2.7924503660202027,29.89,2.898631410525583,27.708
20,2.7739735198020936,30.29,2.8714636780721756,27.926
21,2.7999227619171143,30.44,2.8592314909181327,28.06
22,2.7645686435699464,30.46,2.854022696195051,28.418
23,2.776099240779877,30.6,2.8514805773030156,28.368
24,2.7930429935455323,30.52,2.8395482786476154,28.652
25,2.7816871213912964,30.2,2.8280394211449584,28.844
26,2.7452602767944336,30.99,2.8127176487232415,29.3
27,2.715837981700897,31.55,2.793624273651396,29.766
28,2.7403456449508665,30.88,2.784142703351462,29.73
29,2.7286936163902284,31.1,2.7898856154488176,29.584
30,2.687046480178833,32.19,2.7729890200183216,30.012
31,2.7034597420692443,31.86,2.763520683473943,30.202
32,2.686315929889679,31.92,2.7541541321503233,30.358
33,2.6821248722076416,31.58,2.75237656188438,30.15
34,2.742318432331085,30.69,2.737088469288233,30.672
35,2.6657305788993835,31.81,2.7275843028827094,30.684
36,2.6782671189308167,32.23,2.719932912255797,30.868
37,2.680837166309357,31.89,2.723253137925092,31.05
38,2.6045127940177917,33.38,2.7091372769202113,31.466
39,2.7061052918434143,31.8,2.708869843226869,31.44
40,2.4685769510269164,36.47,2.4963723954642214,35.66
41,2.4625768947601316,36.5,2.453771499416712,36.382
42,2.4445361375808714,36.92,2.436860911681524,37.008
43,2.429630525112152,37.0,2.423241611636813,37.174
44,2.425457289218903,37.54,2.4142511482433893,37.65
45,2.440221121311188,37.08,2.4118676594151256,37.504
46,2.4144328379631044,37.58,2.402935202469301,37.488
47,2.4094260478019716,37.74,2.3953154062676,37.464
48,2.4102862203121185,37.66,2.389815539655173,37.952
49,2.4004805552959443,37.83,2.382596553743953,38.03
50,2.38573609828949,38.04,2.354046413050893,38.656
51,2.3834959590435028,38.41,2.345812508212331,39.046
52,2.382918642759323,38.25,2.3484230038455074,38.782
53,2.38313560128212,38.3,2.351519073671697,38.812
54,2.3821897542476655,38.37,2.344801086598955,39.198
55,2.381523553133011,38.14,2.3422431863482345,38.938
56,2.382350832223892,38.4,2.348673172923915,39.006
57,2.379625805616379,38.3,2.34248951054595,38.906
58,2.3796526443958284,38.29,2.343429895618078,38.732
59,2.3809282994270324,38.6,2.3389681409996794,38.986
