,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,3.813363037109375,11.93,4.263728791185657,5.49
1,3.4507497262954714,17.89,3.7013556243818435,13.21
2,3.2643398070335388,21.29,3.460403969220798,17.264
3,3.198382730484009,21.93,3.297607462119568,19.936
4,3.02095760345459,25.41,3.1712035266944514,22.522
5,2.993718502521515,26.1,3.0716193362575055,24.292
6,2.882505877017975,28.16,2.977865417899988,26.086
7,2.7821851658821104,29.88,2.9204591290115394,27.056
8,2.774198582172394,30.15,2.8505172217288592,28.514
9,2.672686080932617,32.56,2.8051195681247565,29.28
10,2.6865861129760744,31.4,2.759448023403392,30.378
11,2.6185135316848753,33.41,2.7176124226406713,31.196
12,2.64327285528183,32.27,2.6915263599142087,31.676
13,2.5632897353172304,34.55,2.6671853888675074,32.022
14,2.613801350593567,33.78,2.650564783979255,32.47
15,2.516888828277588,35.04,2.618679472857424,33.082
16,2.5220287251472473,35.0,2.5960165795767702,33.576
17,2.487816104888916,36.42,2.574836618150287,33.872
18,2.534552803039551,34.77,2.555793194514711,34.322
19,2.527747485637665,34.91,2.5342813300354705,34.808
20,2.5089496779441833,35.83,2.543043167084989,34.768
21,2.5287978839874268,35.82,2.519838828260027,35.362
22,2.4393529057502747,37.01,2.5060809091533844,35.448
23,2.4574613988399507,36.58,2.484305191832735,36.018
24,2.5627137875556945,34.76,2.473649683510861,36.09
25,2.424926849603653,37.31,2.4730928322238386,36.26
26,2.4397411382198335,36.99,2.4522164578328045,36.508
27,2.5507368695735932,35.17,2.4543725133247083,36.594
28,2.387092219591141,38.23,2.4497151240668336,36.62
29,2.5140621280670166,35.63,2.443521986227206,36.706
30,2.444786114692688,36.57,2.440488117125333,37.012
31,2.5081552016735076,35.97,2.4165478103301106,37.288
32,2.4088188123703005,38.19,2.423080236710551,37.16
33,2.3692421245574953,38.87,2.410877722913347,37.44
34,2.409849479198456,38.01,2.3994267962472824,37.692
35,2.4490531277656555,36.86,2.4023207258385466,37.602
36,2.346285356283188,38.6,2.381834088384038,38.048
37,2.434235533475876,37.17,2.3850956350336294,37.848
38,2.413536957502365,37.85,2.3802534533888484,37.994
39,2.3665593492984773,38.81,2.3734109048038494,38.146
40,2.41866645693779,37.93,2.3631901033699054,38.25
41,2.382340545654297,37.89,2.3660469619209503,38.246
42,2.3317833125591276,39.16,2.3603646252161403,38.836
43,2.457851312160492,37.17,2.35851795716054,38.694
44,2.459872468709946,37.08,2.355955775436538,38.51
45,2.362963628768921,38.96,2.363344588548021,38.418
46,2.38399964094162,38.21,2.3489922178370874,38.658
47,2.4426575446128846,36.88,2.3339162442995156,38.97
48,2.3507448661327364,39.4,2.332873038623644,39.12
49,2.336449943780899,39.39,2.342008013249663,38.792
50,2.3210250008106232,39.18,2.3539892084458294,38.358
51,2.4133147549629212,37.45,2.3168950873567624,39.468
52,2.3517067301273347,38.71,2.330676008368392,39.374
53,2.373351672887802,39.38,2.3260463290202344,39.182
54,2.371521419286728,39.31,2.3235456102034626,39.276
55,2.3231096982955934,39.94,2.329788239715654,39.182
56,2.3211094617843626,39.73,2.322681103520991,39.294
57,2.2767113995552064,40.61,2.3281752480875197,39.318
58,2.445133743286133,38.07,2.304805934276727,39.638
59,2.269583076238632,41.08,2.3123719783695154,39.62
