,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,4.107330996990203,8.04,4.445883299078782,3.15
1,3.716828718185425,12.8,3.9270330231512904,9.566
2,3.554758892059326,15.64,3.6445814685138593,13.772
3,3.3964067316055297,18.11,3.471562013601708,16.726
4,3.2398752760887146,21.46,3.3293751523927653,19.292
5,3.107928874492645,23.02,3.240834772739264,20.916
6,3.014489464759827,25.33,3.1511071130747683,22.526
7,3.0718387079238894,24.76,3.096541569970758,23.692
8,2.9797871112823486,25.31,3.0377836532300084,24.938
9,2.8913105058670046,27.65,2.985616935793396,25.676
10,2.8977140760421753,28.22,2.953711187748043,26.208
11,2.846133277416229,28.92,2.915202738988735,27.298
12,2.7385265898704527,30.69,2.8769285947160648,27.724
13,2.771107461452484,30.34,2.8596287535889373,28.196
14,2.6908249497413634,32.03,2.8246904035358478,28.946
15,2.6856552076339724,31.21,2.798869845812278,29.316
16,2.6866553688049315,31.71,2.7714842420709713,30.054
17,2.620816161632538,33.13,2.744459674181536,30.586
18,2.6626033711433412,32.14,2.7188111107672572,31.108
19,2.627165493965149,33.79,2.716316793885682,31.076
20,2.618043315410614,33.31,2.6810983428564827,31.734
21,2.588559858798981,33.92,2.6704682340402432,32.262
22,2.5437529468536377,34.56,2.6518004227172383,32.448
23,2.5228510975837706,35.0,2.635640081542227,32.596
24,2.5502125883102416,34.77,2.6181475414949307,33.194
25,2.5758686900138854,34.04,2.606058607320956,33.516
26,2.494922709465027,35.89,2.580631531108066,33.838
27,2.551106543540955,34.4,2.5784630671791406,33.906
28,2.63746821641922,33.18,2.555684153076328,34.384
29,2.4392056345939634,36.84,2.570982984264793,34.516
30,2.5473877811431884,34.75,2.5419628034772166,34.872
31,2.5046198177337646,36.1,2.5320428814119693,35.112
32,2.4859735059738157,36.24,2.5373285737488884,34.788
33,2.4462544989585875,37.0,2.5260159938841524,34.9
34,2.465007607936859,36.57,2.515404704281741,35.398
35,2.5335726737976074,35.62,2.5173845748462336,35.296
36,2.47063982963562,36.25,2.494654557284187,35.618
37,2.4901880288124083,36.26,2.5002847934318018,35.93
38,2.5082726812362672,36.28,2.4953683934858084,35.764
39,2.440492866039276,37.03,2.4885206948155942,35.948
40,2.332329409122467,39.72,2.320686374478938,39.43
41,2.3289814245700837,39.92,2.2911906379567997,40.14
42,2.308227695226669,40.15,2.275594643009898,40.51
43,2.312382780313492,40.15,2.266850963273012,40.364
44,2.3023220813274383,40.1,2.2672604743172142,40.514
45,2.29689826130867,40.46,2.2560622862842687,40.756
46,2.3171135461330414,40.06,2.250630304941436,41.08
47,2.299191573858261,40.24,2.2470462846634027,41.074
48,2.3046868300437926,40.47,2.245415858905334,41.158
49,2.301099668741226,40.9,2.240801596885447,41.184
50,2.2882120883464814,40.73,2.222731168312795,41.572
51,2.2860620713233946,40.93,2.2101304204872503,41.964
52,2.286978272199631,40.7,2.208783311917044,41.988
53,2.2796720349788666,40.88,2.2138135149655747,41.678
54,2.280008753538132,40.96,2.2084870469539672,41.918
55,2.2792330384254456,40.78,2.2131893948825727,42.076
56,2.279149584770203,40.73,2.2041167322631994,41.914
57,2.2809389412403105,40.92,2.2075201105278777,42.01
58,2.2773945546150207,40.91,2.2064687294118546,42.028
59,2.2816966760158537,40.83,2.203796209886556,42.072
