,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,3.502824969291687,18.05,3.957172422457839,10.406
1,3.1338216853141785,23.26,3.3937773161836904,18.724
2,3.025603160858154,25.33,3.1689470558215285,22.798
3,2.825054862499237,29.56,3.024662362340161,25.348
4,2.7939886045455933,30.09,2.9246089495051546,27.202
5,2.671819930076599,32.22,2.840313851071136,28.814
6,2.6227723288536073,33.24,2.7696870678221175,30.126
7,2.640423102378845,33.3,2.717394614158689,31.288
8,2.6085102462768557,33.72,2.664052406540307,32.47
9,2.5110561728477476,35.44,2.625725960792483,32.734
10,2.496685116291046,36.08,2.5843653087420844,34.066
11,2.5419527459144593,35.48,2.5418567236732033,34.726
12,2.5409252572059633,35.43,2.518671346747357,35.154
13,2.4259485471248627,37.81,2.4834655703181197,35.806
14,2.3874539589881896,39.0,2.4574536874776,36.254
15,2.3907767403125764,38.27,2.446184446744602,36.676
16,2.3643983817100525,38.8,2.416264071184046,37.276
17,2.370381327867508,39.12,2.408249794064885,37.302
18,2.337742484807968,39.71,2.3920119775225746,37.866
19,2.3310522508621214,39.81,2.379361658754861,37.996
20,2.3730530309677125,39.02,2.361413578243207,38.364
21,2.3944386625289917,38.57,2.3500231958716116,38.526
22,2.318271998167038,40.07,2.340397596969019,38.868
23,2.3670983397960663,39.26,2.333062125593805,39.004
24,2.353448761701584,38.84,2.3158199521891603,39.362
25,2.341225926876068,39.44,2.310812939463369,39.494
26,2.4007306051254274,38.75,2.3061776969134047,39.76
27,2.4498622250556945,36.91,2.3031087272307453,39.588
28,2.281916682720184,40.89,2.2919473638924797,39.974
29,2.2898272585868837,40.97,2.2849962302790883,39.976
30,2.2998187232017515,40.89,2.277677679610679,39.97
31,2.2658514058589936,41.55,2.277076205024329,40.12
32,2.330018091201782,39.97,2.270202626657608,40.298
33,2.3883901059627535,38.92,2.2631481148092947,40.326
34,2.285822477340698,41.07,2.2609829491056748,40.426
35,2.2837088716030123,40.95,2.257340683351697,40.47
36,2.3912152552604677,39.39,2.255192992632346,40.43
37,2.2856189489364622,40.94,2.2470247315628753,40.73
38,2.339235394001007,40.14,2.2456417550211367,40.71
39,2.2173421287536623,42.0,2.2333858497917194,41.224
40,2.751145260334015,34.92,2.240490983209342,41.052
41,2.314568910598755,40.52,2.2367124334930457,40.922
42,2.38661035656929,38.53,2.229769869228763,40.932
43,2.2521530139446257,41.65,2.226909789892719,41.196
44,2.2946931099891663,40.64,2.2168746918363644,41.508
45,2.2693544042110445,41.8,2.2212641973934515,41.146
46,2.1954834198951723,42.9,2.2142397220177417,41.346
47,2.2859940266609193,40.52,2.21012020111084,41.732
48,2.2920843410491942,41.66,2.219060596297769,41.434
49,2.216937382221222,42.24,2.210297889721668,41.738
50,2.329705773591995,40.7,2.2141777441629666,41.332
51,2.338215825557709,40.32,2.2002858679617763,41.672
52,2.265078809261322,41.46,2.204785809187633,41.79
53,2.242754627466202,41.5,2.1996766807478103,41.764
54,2.246141254901886,41.64,2.203830210754024,41.794
55,2.275706499814987,40.66,2.1978731176737325,41.986
56,2.2453143262863158,42.13,2.20117857389133,41.758
57,2.335457228422165,39.8,2.1949053237505276,41.732
58,2.257670613527298,41.71,2.1945359283091164,41.962
59,2.3126852679252625,39.97,2.189831625470115,42.108
